symptomid	symptom_norm	symptom_ori	count	cui	cui_name	cui_source	metamap_score	cui_def	gpt3_def
32	productstorageerror	Product storage error	21909	C4523980	Product storage error	UMLS_API			An error related to the storage of a product. This can include incorrect placement or organization of the product, as well as damage to the product.
33	peripheralswelling	Peripheral swelling	21809	C0877232	Peripheral swelling	UMLS_API			enlargement of one or more parts of the body that are not the primary focus of the disease
34	injectionsitepruritus	Injection site pruritus	21361	C0852995	Injection site itching	MANUAL			Itching and irritation at the injection site.
35	injectionsitewarmth	Injection site warmth	18594	C0858934	Injection site warmth	UMLS_API			The sensation of warmth that is sometimes felt at the injection site after an injection.
36	expiredproductadministered	Expired product administered	17048	C3854346	Expired product administered	UMLS_API			a medicine which is no longer recognised as being effective by the relevant regulatory authority.
37	syncope	Syncope	16640	C0039070	Syncope	UMLS_API		A transient loss of consciousness and postural tone caused by diminished blood flow to the brain (i.e., BRAIN ISCHEMIA).	Syncope is a sudden, temporary loss of consciousness and muscle strength caused by a decrease in blood flow to the brain.
38	vaccinationsitepain	Vaccination site pain	15575	C0857219	Vaccination site pain	UMLS_API			The pain that is felt at the site of a vaccination. This pain can be mild to severe, and can last for a short or long time.
39	bloodtest	Blood test	15422	C0018941	Hematologic Tests	MANUAL		Tests used in the analysis of the hemic system.	A laboratory examination of a sample of your blood for the presence of disease or infection.
40	chestdiscomfort	Chest discomfort	15235	C0235710	Chest discomfort	UMLS_API			Chest discomfort is an umbrella term used to describe a variety of sensations that may be felt in the chest area, including but not limited to chest pain, chest tightness, chest pressure, and chest fullness.
41	tremor	Tremor	15192	C0040822	Tremor	UMLS_API		Cyclical movement of a body part that can represent either a physiologic process or a manifestation of disease.	a rhythmic movement of one or more parts of the body, often a result of an underlying medical condition.
42	backpain	Back pain	14776	C0004604	Back Pain	UMLS_API		Acute or chronic pain located in the posterior regions of the THORAX; LUMBOSACRAL REGION; or the adjacent regions.	an ache or discomfort in the back.  Back pain is a very common problem, affecting most people at some point in their lives. It can be caused by many things, including muscle or joint problems, herniated disks, or problems with the spinal cord.
43	sars-cov-2test	SARS-CoV-2 test	14708	C5244026	COVID-19 Testing	MANUAL		Diagnosis of COVID-19 by assaying bodily fluids or tissues for the presence of COVID-19 antibodies, SARS-COV-2 antigens or the VIRAL RNA of SARS-COV-2.	A test to determine if a person has been infected with the SARS-CoV-2 virus.
44	swelling	Swelling	14622	C0038999	Swelling	UMLS_API			a condition in which an area of the body becomes enlarged and more firm than normal.
45	conditionaggravated	Condition aggravated	14492	C0235874	Disease Exacerbation	MANUAL			(of a disease or injury) made worse or more serious as a result of some other event or action
46	palpitations	Palpitations	14351	C0030252	Palpitations	UMLS_API			a feeling that your heart is beating too hard, too fast, or irregularly.  I get palpitations occasionally and it feels like my heart is beating out of my chest. It's really scary and I don't know what causes it.
47	heartrateincreased	Heart rate increased	14088	C0039231	Tachycardia	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	5.53	Abnormally rapid heartbeat, usually with a HEART RATE above 100 beats per minute for adults.	When the heart rate increases, the heart is beating faster.
48	herpeszoster	Herpes zoster	13792	C0019360	Herpes zoster disease	MANUAL		An acute infectious, usually self-limited, disease believed to represent activation of latent varicella-zoster virus (HERPESVIRUS 3, HUMAN) in those who have been rendered partially immune after a previous attack of CHICKENPOX.	a viral infection that causes a rash on one side of the body.  Herpes zoster is a viral infection that primarily affects the skin and nerves. It is caused by the varicella-zoster virus, the same virus that causes chickenpox. The virus lies dormant in the body after a person has had chickenpox, and it can reactivate later in life, causing herpes zoster. The rash caused by herpes zoster usually appears on one side of the body and is often quite painful. The virus can also cause a number of long-term complications, such as nerve damage.
49	productadministeredtopatientofinappropriateage	Product administered to patient of inappropriate age	13505	C4728062	Product administered to patient of inappropriate age	UMLS_API			a product that is not meant for the patient's age group.  Some products are meant for specific age groups. For example, children's Tylenol is meant for children, and not adults. If an adult takes children's Tylenol, they may experience adverse effects, because the product is not meant for their age group.
50	tinnitus	Tinnitus	13474	C0040264	Tinnitus	UMLS_API		A nonspecific symptom of hearing disorder characterized by the sensation of buzzing, ringing, clicking, pulsations, and other noises in the ear.	ringing or other noise in the ears without an external sound source.  Tinnitus is a perception of noise or ringing in the ears, and is a common problem. Tinnitus may be caused by different things, including loud noises, medications, and ear infections. Treatment options include counseling and various medications.
51	decreasedappetite	Decreased appetite	13097	C0232462	Decrease in appetite	MANUAL			a decrease in the desire to eat.  Some people may not feel hungry at all, while others may only have a decrease in the desire to eat certain types of foods.
52	feelinghot	Feeling hot	12954	C2939147	Feels hot	MANUAL			experiencing the sensation of heat, especially a sensation that is felt in the skin, caused by the heating of the body
53	injectionsiterash	Injection site rash	12654						a rash that may develop at the site of an injection.  Rashes may develop at the site where a person has received an injection. The rash may be red, itchy, and filled with bumps. It may also be accompanied by swelling, pain, and warmth at the injection site.
54	influenzalikeillness	Influenza like illness	12482	C0521839	Influenza-like illness	MANUAL			fever, cough and body aches.  This definition is from the Centers for Disease Control and Prevention (CDC).
55	lossofconsciousness	Loss of consciousness	12243	C0041657	Unconscious State	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	5.06	Loss of the ability to maintain awareness of self and environment combined with markedly reduced responsiveness to environmental stimuli.	:  A state of mind in which a person is unaware of their surroundings and unable to respond to stimuli.
56	oropharyngealpain	Oropharyngeal pain	12235	C2363731	Oropharyngeal pain	UMLS_API			Pain in the oropharynx, which is the part of the throat that lies behind the mouth. Oropharyngeal pain may be caused by infection, inflammation, or cancer.
57	neckpain	Neck pain	12078	C0007859	Neck Pain	UMLS_API		Discomfort or more intense forms of pain that are localized to the cervical region.	pain that may be felt in the neck region. This pain may radiate to other areas such as the shoulders, arms, or hands. Neck pain may be caused by a variety of conditions, including poor posture, stress, or whiplash.
58	rasherythematous	Rash erythematous	11930	C0234913	Erythematous rash	MANUAL			A skin condition that is characterized by a red, inflamed rash.
59	skinwarm	Skin warm	11610	C0235218	Warm skin	MANUAL			the sensation that is created by the application of heat to the skin, which can cause the skin to become red, irritated, or swollen
60	mobilitydecreased	Mobility decreased	11418	C0700572	Reduced mobility	MANUAL		Mobility is decreased, reduced or has declined for a variety of factors.	The definition of Mobility decreased is when someone's ability to move around freely is reduced.
61	electrocardiogram	Electrocardiogram	11236	C0013798	Electrocardiogram	UMLS_API			An electrocardiogram (ECG) is a test that records the heart's electrical activity.
62	inappropriatescheduleofproductadministration	Inappropriate schedule of product administration	11142	C4728056	Inappropriate schedule of product administration	UMLS_API			a medication schedule that does not follow the recommended schedule by the drug's manufacturer.
63	bodytemperature	Body temperature	10281	C0005903	Body Temperature	UMLS_API		The measure of the level of heat of a human or animal.	a measure of the average kinetic energy of the atoms and molecules in the body. This energy is related to the temperature of the environment by the ideal gas law.  The average kinetic energy of the atoms and molecules in the body is about 98.6 degrees Fahrenheit.
64	rashpruritic	Rash pruritic	9992						ITCHING, ESPECIALLY ON ONE'S BACK, THAT IS OFTEN A SIGN OF A RASH
65	insomnia	Insomnia	9406	C0917801	Sleeplessness	MANUAL			difficulty falling or staying asleep, which can lead to daytime sleepiness.    Insomnia is a sleep disorder that is characterized by difficulty falling asleep, difficulty staying asleep, or both. People with insomnia often experience daytime sleepiness, which can impair daytime functioning. Insomnia can be temporary or long-term, and can be caused by a variety of factors, including stress, anxiety, illness, and medications.
66	migraine	Migraine	9275	C0149931	Migraine Disorders	MANUAL		A class of disabling primary headache disorders, characterized by recurrent unilateral pulsatile headaches.	a headache that is accompanied by one or more of the following symptoms:  ♦ Visual disturbances, such as flickering lights, stars, or a sense of tunnel vision ♦ Sensitivity to light or sound ♦ Nausea or vomiting ♦ A throbbing pain on one side of the head ♦ Difficulty speaking ♦ Behavioral changes, such as mood swings, depression, or irritability ♦ Problems with coordination
67	flushing	Flushing	9245	C0016382	Flushing	UMLS_API		A transient reddening of the face that may be due to fever, certain drugs, exertion, or stress.	to clean by forcing a liquid through a porous material.
68	sars-cov-2testnegative	SARS-CoV-2 test negative	8952	C5244024	SARS-CoV-2 test negative	UMLS_API			a test result in which a person is found not to have the SARS-CoV-2 virus.
69	sleepdisorder	Sleep disorder	8906	C0851578	Sleep Disorders	MANUAL		Conditions characterized by disturbances of usual sleep patterns or behaviors.	a medical condition that affects how a person sleeps. This could be difficulty falling asleep, staying asleep, or disturbed sleep.
70	interchangeofvaccineproducts	Interchange of vaccine products	8714	C2938923	Interchange of vaccine products	UMLS_API			The exchange of vaccine products between different manufacturers or different countries is known as interchange. The vaccine products can be exchanged for other vaccine products or for other medical products. The interchange of vaccine products is done in order to improve the quality of the vaccine products and to increase the availability of the vaccine products.
71	extradoseadministered	Extra dose administered	8689	C1536235	Extra dose administered	UMLS_API			:  A dosage of a drug or other therapeutic agent that is larger than the usual dosage.
72	musclespasms	Muscle spasms	8670	C3887506	Hyperkinesia	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	4.14	Excessive movement of muscles of the body as a whole, which may be associated with organic or psychological disorders.	an uncontrolled and involuntary contraction of a muscle or group of muscles.  Symptoms of muscle spasm may include:  Cramps Aching Tightness The feeling that a muscle is contracting (spasming) or shaking
73	death	Death	8647	C4722467	Death Domain	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	4.6		a cessation of life.
74	abdominalpainupper	Abdominal pain upper	8634						Pain that is felt in the upper part of the abdomen.
75	lethargy	Lethargy	8308	C0023380	Lethargy	UMLS_API		A general state of sluggishness, listless, or uninterested, with being tired, and having difficulty concentrating and doing simple tasks.	:  The state of feeling very tired and lacking energy  The definition of Apathy is:  A lack of interest or emotion  The definition of Sloth is:  A feeling of laziness and reluctance to do anything  The definition of Indolence is:  Laziness; unwillingness to work or take action
76	anxiety	Anxiety	8258	C0003467	Anxiety	UMLS_API		Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.	a feeling of worry, nervousness, or unease, typically about an upcoming event or something with an uncertain outcome.  The definition of Panic is a sudden feeling of terror or extreme anxiety, often causing you to behave in an irrational way.
77	muscularweakness	Muscular weakness	8236	C0151786	Muscle Weakness	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	6.91	A vague complaint of debility, fatigue, or exhaustion attributable to weakness of various muscles.	A lack of muscular strength or power.
78	gaitdisturbance	Gait disturbance	8192						A disturbance in the normal pattern of locomotion, often characterized by a change in the rhythm or frequency of footfall.
79	fall	Fall	8041						a time of the year when the leaves of trees change color from green to a range of yellows, oranges, and reds.  The leaves of deciduous trees in temperate zones typically start changing color in September, as the days get shorter and the nights get cooler. The leaves reach their peak color in October or November, and then start to lose their color and fall to the ground.
80	vertigo	Vertigo	7972	C0042571	Vertigo	UMLS_API		An illusion of movement, either of the external world revolving around the individual or of the individual revolving in space.	a sensation of spinning or whirling that is caused by a problem with your balance.
81	bodytemperatureincreased	Body temperature increased	7937						when the body's temperature goes up
82	swellingface	Swelling face	7932						Swelling of the face can be caused by a variety of factors, including allergic reactions, infections, and injuries. Swelling can cause the affected area to feel warm to the touch and can make it difficult to open the mouth or chew.
83	computerisedtomogram	Computerised tomogram	7890						:  An image created by a computerized tomography (CT) scan. A CT scan is a medical imaging procedure that uses x-rays to produce detailed images of the inside of the body.
84	feelingcold	Feeling cold	7788	C0235150	Feeling Cold	UMLS_API			to experience a sensation of chilliness or coolness
85	burningsensation	Burning sensation	7718	C0085624	Burning sensation	UMLS_API			a prickling, tingling, or itching sensation that is usually unpleasant
86	musculoskeletalstiffness	Musculoskeletal stiffness	7718	C0948525	Musculoskeletal stiffness	UMLS_API			:  A measure of the resistance of a material to deformation. In the context of musculoskeletal tissues, stiffness is a measure of how much energy is required to deform a tissue.
87	laboratorytest	Laboratory test	7518						a medical test conducted in a laboratory.  A laboratory test is a medical test that is conducted in a laboratory. This type of test is used to diagnose medical conditions and to monitor the progress of medical treatments. Laboratory tests can be performed on blood, urine, or tissues.
88	abdominalpain	Abdominal pain	7344	C0000737	Abdominal Pain	UMLS_API		Sensation of discomfort, distress, or agony in the abdominal region.	also known as epigastric pain. It is a type of pain that can be felt in the central part of the abdomen. The pain may be due to a variety of conditions affecting the organs in this region, such as the stomach, liver, gallbladder, pancreas, or spleen.
89	visionblurred	Vision blurred	7305						vision blurry
90	immediatepost-injectionreaction	Immediate post-injection reaction	7297	C1868821	Immediate post-injection reaction	UMLS_API			A reaction that occurs immediately following an injection.
91	somnolence	Somnolence	7260	C2830004	Somnolence	UMLS_API		Compelling urge to sleep.	Sluggishness of body or mind, especially when resulting from fatigue or boredom.
92	vaccinationsiteerythema	Vaccination site erythema	7095	C1142539	Vaccination site erythema	UMLS_API			Erythema is a diffuse redness of the skin, usually resulting from the action of sunlight or some other stimulus on the capillaries of the skin.
93	incorrectdoseadministered	Incorrect dose administered	7046	C1536013	Incorrect dose administered	UMLS_API			An incorrect dose administered is when a patient receives a dose of medication that is not the correct dose for their individual needs.
94	rhinorrhoea	Rhinorrhoea	6997						Rhinorrhoea is a condition that causes the discharge of fluid from the nose. The discharge can be clear, cloudy, thick, or bloody.
95	pallor	Pallor	6915	C0030232	Pallor	UMLS_API		A clinical manifestation consisting of an unnatural paleness of the skin.	A condition in which the skin appears abnormally pale, due to a lack of blood flow or blood vessels that are visible through the skin.
96	fullbloodcount	Full blood count	6800						A full blood count (FBC) is a laboratory test that measures the number of red blood cells (RBCs), white blood cells (WBCs), and platelets in a blood sample. It also estimates the amount of hemoglobin (an oxygen-carrying protein in red blood cells) and hematocrit (the percentage of red blood cells in a sample of blood). A full blood count can help identify the cause of anemia, infection, or other health problems.
97	abdominaldiscomfort	Abdominal discomfort	6726	C0232487	Abdominal discomfort	UMLS_API			pain or discomfort in the abdomen.
98	paraesthesiaoral	Paraesthesia oral	6679	C0030554	Paresthesia	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	5.06	Subjective cutaneous sensations (e.g., cold, warmth, tingling, pressure, etc.) that are experienced spontaneously in the absence of stimulation.	A sensation that does not originate from any known stimulus.
99	injectionsiteinduration	Injection site induration	6670	C0521509	Injection site induration	UMLS_API			a localized area of swelling, redness and/or hardness around an injection site.
100	impairedworkability	Impaired work ability	6596	C0948361	Impaired work ability	UMLS_API			"""a situation in which a person is no longer able to do their job as well as they could before because of an illness or injury."""
101	throattightness	Throat tightness	6570						the sensation of the muscles at the front of the throat tightening, most commonly as a result of anxiety.  It can feel like a lump in the throat, and it can be difficult to swallow.
102	unevaluableevent	Unevaluable event	6517	C1262119	Unevaluable event	UMLS_API			an event that is not worth the time or effort to attend.
103	hypertension	Hypertension	6449						high blood pressure. This is a commonly used medical term that refers to the pressure that blood exerts against the walls of the arteries as it circulates through the body. When blood pressure is consistently high, it puts extra stress on the heart and can lead to serious health problems.
104	bloodpressureincreased	Blood pressure increased	6363						The definition of Blood pressure increased is  A gradual and sustained increase in the blood pressure above the norm.
105	chestx-ray	Chest X-ray	6266						:  Chest X-ray is a medical test that uses radiation to take a picture of the chest. It can show problems with the lungs, heart, blood vessels, and other organs in the chest.
106	tachycardia	Tachycardia	6108	C0039231	Tachycardia	UMLS_API		Abnormally rapid heartbeat, usually with a HEART RATE above 100 beats per minute for adults.	a heart rate that is too high, usually defined as a heart rate of over 100 beats per minute.  Some symptoms of tachycardia include shortness of breath, chest pain, lightheadedness, and fainting.
107	throatirritation	Throat irritation	6061	C0700184	Throat irritation	UMLS_API			irritation or inflammation of the throat, typically caused by smoke, fumes, or dust
108	injectionsitereaction	Injection site reaction	6053	C0151735	Injection Site Reaction	UMLS_API		Adverse reactions that occur initially at the site of injection or infusion.	A local adverse reaction that may occur at the injection site following administration of a vaccine or other injectable product.
109	vaccinationsiteswelling	Vaccination site swelling	6044	C2721704	Vaccination site swelling	UMLS_API			Swelling at the site of a vaccination, usually caused by the injection itself or an adverse reaction to the vaccine.
110	tenderness	Tenderness	6025						gentleness or consideration shown in one's words or actions
111	illness	Illness	5958						an illness is an abnormal condition of the body or mind that impairs function or causes pain.
112	axillarypain	Axillary pain	5937	C0577659	axillary pain	METAMAP_STRING_MATCH			pain located in the axilla, which is the area between the shoulder and the elbow.  Axillary pain can be caused by a number of things, including:  -Broken or fractured bone -Strained or torn muscle -Infection -Cancer -Nerve damage -Arthritis
113	metabolicfunctiontest	Metabolic function test	5791						A metabolic function test is a blood or urine test that is used to measure the amount or activity of certain enzymes or proteins in the body. These tests can be used to diagnose a variety of diseases, including liver disease, kidney disease, and diabetes.
114	confusionalstate	Confusional state	5764	C0009676	Confusion	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	5.53	A mental state characterized by bewilderment, emotional disturbance, lack of clear thinking, and perceptual disorientation.	A state of mental confusion.
115	lossofpersonalindependenceindailyactivities	Loss of personal independence in daily activities	5675	C4324724	Loss of personal independence in daily activities	UMLS_API			when a person can no longer complete activities they were able to do before without assistance.
116	lipswelling	Lip swelling	5627	C0240211	Lip swelling	UMLS_API			A lip swelling is an abnormal enlargement of the lips.
117	magneticresonanceimaging	Magnetic resonance imaging	5440	C0024485	Magnetic Resonance Imaging	UMLS_API		Non-invasive method of demonstrating internal anatomy based on the principle that atomic nuclei in a strong magnetic field absorb pulses of radiofrequency energy and emit them as radiowaves which can be reconstructed into computerized images.	A medical imaging technique used in radiology to form images of the body. MRI uses a strong magnetic field to align atomic nuclei in the body, and radiofrequency pulses to create signals from these nuclei. The signals are used to create images of the body.
118	nasalcongestion	Nasal congestion	5414						a stuffy nose often caused by a cold, the flu, or allergies.
119	seizure	Seizure	5369						A sudden, unexpected occurrence or attack, as of a symptom, disease, or emotional state.
120	limbdiscomfort	Limb discomfort	5351	C0854303	Limb discomfort	UMLS_API			physical discomfort or pain in a limb.  Limb discomfort can be caused by many things, including:  -Injury -Overuse -Arthritis -Nerve damage -Carpal tunnel syndrome -Tendonitis -Lupus erythematosus -Raynaud's phenomenon
121	electrocardiogramnormal	Electrocardiogram normal	5251	C1623258	Electrocardiography	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	4.14	Recording of the moment-to-moment electromotive forces of the HEART as projected onto various sites on the body's surface, delineated as a scalar function of time.	a heart rhythm characterized by regular, consistent waves with a rate between 60 and 100 beats per minute.
122	discomfort	Discomfort	5120	C2364135	Discomfort	UMLS_API			Noun:  The state of feeling pain, uneasiness, or distress.  Verb:  To cause inconvenience or displeasure to.
123	lymphnodepain	Lymph node pain	5104						Pain in a lymph node is an uncommon, but potential, symptom that can occur with many diseases and medical conditions. Lymph nodes are small, bean-shaped organs that are part of the body's immune system. They help fight infection by filtering lymph, a fluid that contains infection-fighting cells. Lymph node pain can be caused by a number of problems, including infection, inflammation, and cancer.
124	dysphagia	Dysphagia	4991						"""difficulty swallowing.""  Difficulty swallowing can be caused by many things, including a stroke, achalasia, and tumors."
125	hypersensitivity	Hypersensitivity	4947	C0020517	Hypersensitivity	UMLS_API		Altered reactivity to an antigen, which can result in pathologic reactions upon subsequent exposure to that particular antigen.	a condition in which the body’s immune system overreacts to a substance that is not harmful.  Symptoms of hypersensitivity can vary depending on the cause, but may include skin rashes, diarrhea, vomiting, and difficulty breathing.
126	hypoaesthesiaoral	Hypoaesthesia oral	4814	C0020580	Hypesthesia	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	5.06	Absent or reduced sensitivity to cutaneous stimulation.	an oral condition characterized by a decrease in sensation.
127	rashmacular	Rash macular	4780	C0221201	Macular rash	MANUAL			A rash that appears as a flat, red area on the skin, often with distinct borders and a central point or bull's-eye.
